Zone,Area,Crime_Type,Time,Date,Status
West Nagpur,Gittikhadan,Robbery,14:45,2025-04-25,Resolved
West Nagpur,Bharat Nagar,Robbery,05:00,2025-06-25,Resolved
West Nagpur,Gittikhadan,Assault,02:45,2025-05-15,Pending
South Nagpur,Hudkeshwar,Robbery,09:00,2025-02-21,Pending
South Nagpur,Sakkardara,Theft,,2025-05-03,Pending
East Nagpur,Lakadganj,Harassment,,2025-06-12,Pending
West Nagpur,Gittikhadan,Theft,01:30,2025-03-08,Resolved
East Nagpur,Hanuman Nagar,Harassment,17:00,2025-02-17,Resolved
North Nagpur,Jaripatka,Chain Snatching,02:30,2025-05-03,Resolved
East Nagpur,Hanuman Nagar,Assault,16:15,2025-04-22,Resolved
West Nagpur,Dharampeth,Chain Snatching,13:45,2025-02-15,Pending
West Nagpur,Gittikhadan,Chain Snatching,14:15,2025-05-21,Resolved
East Nagpur,Lakadganj,Harassment,16:00,2025-06-06,Resolved
North Nagpur,Jaripatka,Robbery,06:15,2025-02-06,Pending
East Nagpur,Hanuman Nagar,Harassment,,2025-05-06,Pending
North Nagpur,Indora,Assault,18:45,2025-06-24,Resolved
East Nagpur,Gandhibagh,Harassment,21:30,2025-02-03,Resolved
South Nagpur,Mangalwari,Chain Snatching,03:00,2025-06-14,Pending
West Nagpur,Gittikhadan,Assault,11:30,2025-04-04,Resolved
East Nagpur,Itwari,,14:45,2025-04-30,Resolved
North Nagpur,Mankapur,Assault,12:00,2025-07-03,Pending
South Nagpur,Hudkeshwar,Robbery,03:15,2025-01-31,Pending
South Nagpur,Ajni,Harassment,23:30,2025-04-15,Resolved
North Nagpur,Jaripatka,Robbery,11:30,2025-02-24,Pending
West Nagpur,Gittikhadan,Assault,12:30,2025-06-30,Pending
North Nagpur,Indora,Assault,17:30,2025-02-02,Pending
North Nagpur,Mankapur,Theft,20:30,2025-01-15,Pending
South Nagpur,Ajni,Fraud,09:00,2025-02-21,Pending
North Nagpur,Mankapur,Harassment,17:45,2025-07-03,Pending
West Nagpur,Wadi,Robbery,17:15,2025-05-16,Pending
West Nagpur,Bharat Nagar,Assault,14:45,2025-03-14,Pending
West Nagpur,Bharat Nagar,Assault,17:15,2025-03-24,Resolved
East Nagpur,Itwari,Harassment,09:15,2025-06-19,Pending
North Nagpur,Mankapur,Harassment,11:30,2025-02-13,Resolved
South Nagpur,Ajni,Harassment,00:45,2025-03-05,Resolved
East Nagpur,Lakadganj,Assault,18:15,2025-04-17,Pending
South Nagpur,Sakkardara,Assault,05:00,2025-01-08,Resolved
West Nagpur,Wadi,Harassment,18:45,2025-03-31,Pending
West Nagpur,Dharampeth,Harassment,01:00,2025-04-20,Pending
South Nagpur,Ajni,Theft,,2025-06-21,Pending
South Nagpur,Ajni,Harassment,06:15,,Pending
